timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497032423372,426,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,10573,181,10,10,426,0,0
1497032423321,490,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,3770,161,10,10,490,0,78
1497032423490,332,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,3784,161,10,10,332,0,0
1497032423358,476,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,6125,167,10,10,476,0,83
1497032423445,402,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,13502,147,10,10,331,0,0
1497032423600,259,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,4061,241,10,10,259,0,0
1497032423701,230,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,3755,165,10,10,230,0,0
1497032423696,272,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,3796,175,10,10,272,0,72
1497032423768,335,HTTP Request,200,,TenThreadClusterInstance 1-7,text,true,,6077,207,10,10,335,0,0
1497032423859,257,HTTP Request,200,,TenThreadClusterInstance 1-1,text,true,,4571,357,10,10,257,0,0
1497032423834,386,HTTP Request,200,,TenThreadClusterInstance 1-4,text,true,,4099,151,10,10,385,0,0
1497032423823,402,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,4115,251,10,10,402,0,0
1497032423799,481,HTTP Request,200,,TenThreadClusterInstance 1-9,text,true,,4241,191,10,10,480,0,0
1497032423931,362,HTTP Request,200,,TenThreadClusterInstance 1-3,text,true,,3901,193,10,10,362,0,0
1497032423795,503,HTTP Request,200,,TenThreadClusterInstance 1-5,text,true,,7814,223,10,10,503,0,0
1497032423847,488,HTTP Request,200,,TenThreadClusterInstance 1-10,text,true,,3943,205,10,10,488,0,0
1497032423811,541,HTTP Request,200,,TenThreadClusterInstance 1-6,text,true,,12460,175,10,10,540,0,0
1497032423968,463,HTTP Request,200,,TenThreadClusterInstance 1-2,text,true,,8307,187,10,10,462,0,0
1497032424226,319,HTTP Request,200,,TenThreadClusterInstance 1-8,text,true,,3869,189,10,10,319,0,72
