timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1496978977181,184,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4318,165,1,1,184,0,0
1496978977365,187,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6673,154,1,1,187,0,0
1496978977553,136,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,9098,163,1,1,136,0,0
1496978977690,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5722,173,1,1,138,0,0
1496978977829,133,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3727,163,1,1,132,0,0
1496978977963,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,10335,148,1,1,139,0,0
1496978978103,132,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3471,146,1,1,132,0,0
1496978978236,124,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3910,156,1,1,123,0,0
1496978978361,134,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3523,154,1,1,132,0,0
1496978978496,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5031,146,1,1,130,0,0
1496978978627,201,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4055,181,1,1,201,0,71
1496978978829,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3642,185,1,1,130,0,0
1496978978960,129,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3529,156,1,1,129,0,0
1496978979090,132,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5631,179,1,1,132,0,0
1496978979222,128,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3624,180,1,1,128,0,0
1496978979351,128,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3560,169,1,1,128,0,0
1496978979480,135,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3510,157,1,1,135,0,0
1496978979616,122,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4363,161,1,1,121,0,0
1496978979739,128,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4039,186,1,1,128,0,0
1496978979868,144,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5840,183,1,1,139,0,0
1496978980013,126,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5867,168,1,1,125,0,0
1496978980139,136,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4183,171,1,1,136,0,0
1496978980276,133,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5434,153,1,1,133,0,0
1496978980410,140,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3530,159,1,1,140,0,0
1496978980551,173,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3496,155,1,1,173,0,0
1496978980734,216,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5936,177,1,1,216,0,72
1496978980951,133,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4353,164,1,1,133,0,0
1496978981084,123,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4194,164,1,1,123,0,0
1496978981207,132,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3584,165,1,1,132,0,0
1496978981339,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4661,154,1,1,139,0,0
1496978981479,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3534,163,1,1,130,0,0
1496978981610,146,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,10032,151,1,1,144,0,0
1496978981757,219,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,16532,144,1,1,147,0,0
1496978981977,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3482,155,1,1,130,0,0
1496978982108,130,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4702,164,1,1,130,0,0
1496978982239,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,7695,168,1,1,127,0,0
1496978982367,144,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,9199,151,1,1,144,0,0
1496978982512,138,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,12113,162,1,1,137,0,0
1496978982651,135,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5339,163,1,1,135,0,0
1496978982787,220,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3515,152,1,1,220,0,77
1496978983008,143,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3822,176,1,1,143,0,0
1496978983152,134,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3475,150,1,1,133,0,0
1496978983287,152,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5819,152,1,1,152,0,0
1496978983440,143,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,7179,163,1,1,143,0,0
1496978983584,141,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6859,153,1,1,140,0,0
1496978983725,139,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4324,165,1,1,139,0,0
1496978983865,140,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,7587,162,1,1,140,0,0
1496978984006,137,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4378,162,1,1,136,0,0
1496978984143,164,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4954,163,1,1,163,0,0
1496978984307,131,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3603,175,1,1,131,0,0
1496978984439,133,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5265,155,1,1,133,0,0
1496978984573,140,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4970,165,1,1,140,0,0
1496978984713,144,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6661,154,1,1,142,0,0
1496978984857,195,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3566,166,1,1,195,0,72
1496978985052,136,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5294,149,1,1,136,0,0
1496978985188,120,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4031,181,1,1,120,0,0
1496978985309,136,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4368,172,1,1,136,0,0
1496978985446,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,5135,170,1,1,126,0,0
1496978985573,128,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4116,167,1,1,127,0,0
1496978985701,132,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,3582,166,1,1,132,0,0
1496978985834,145,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,6099,149,1,1,143,0,0
1496978985980,127,HTTP Request,200,,SingleThreadSingleInstance 1-1,text,true,,4069,195,1,1,127,0,0
